IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP24;IP_PROP14;IP_PROP18;IP_PROP19;IP_PROP15;IP_PROP16;IP_PROP35;IP_PROP17;IP_PROP28;IP_PROP25;IP_PROP29;IP_PROP23;IP_PROP32;IP_PROP31;IP_PROP30;IP_PROP45;IP_PROP46;IP_PROP33;IP_PROP34;IC_GROUP0;IC_GROUP1;IC_GROUP2
1358;Помолвочное кольцо из красного золота с фианитами;1820;Y;;;/upload/iblock/280/28028d68eec74f8f0c389fbe91dc4b6d.jpg;;text;/upload/iblock/f66/f66a52b04902e1c731620e4cb6324a3a.jpg;;text;pomolvochnoe_koltso_iz_zolota_s_brilliantami;500;;0101343;;;;Кольца;Красное золото;;585;;;;;;;;;;;;Ювелирные изделия;Кольца;Помолвочные
1359;Браслет-цепь из белого золота с сапфирами;1821;Y;;;/upload/iblock/d8d/d8da9199f9443a690c9f49c43c9d700a.jpg;;text;/upload/iblock/a77/a77817bb3d265409309729c15a2a28b7.jpg;;text;braslet_tsep_iz_belogo_zolota_s_sapfirami;500;;000012;;;;;;;;;;;;;;;;;;;Ювелирные изделия;Браслеты;Браслеты-цепи
1373;Помолвочное кольцо из серебра;1822;Y;;;/upload/iblock/25b/25b5a85c4111e0112166306c42036a2a.jpg;;text;/upload/iblock/2d9/2d9e8dfc156362e3171676d30f1504fe.jpg;;text;pomolvochnoe_koltso_iz_serebra;500;;94011312;;;;Кольца;Серебро;;925;;;;;;;;;;;;Ювелирные изделия;Кольца;Помолвочные
1382;Помолвочное кольцо из золота с бриллиантом;1823;Y;;;/upload/iblock/1c7/1c7f468dc0716909477fcff016c584be.jpg;;text;/upload/iblock/4c8/4c84bdcb24f884cc295ae6e915cdd677.jpg;;text;pomolvochnoe_koltso_iz_zolota_s_brilliantom;500;;1011395;;;;Кольца;Красное золото;;585;;;;;;;;;;;;Ювелирные изделия;Кольца;Помолвочные
1383;Жеский браслет из розового золота с жемчугом;1824;Y;;;/upload/iblock/a76/a7606c9e176e2c664a4ab47fba473969.png;;text;/upload/iblock/0d2/0d254d55e982e8311fcfbd35be952aec.png;;text;zheskiy_braslet_iz_rozovogo_zolota_s_zhemchugom;500;;000013;;;;Браслеты;Белое золото;;585;;;;;;;;;;;;Ювелирные изделия;Браслеты;Жесткие браслеты
1399;Помолвочное кольцо из белого золота с бриллиантами;1825;Y;;;/upload/iblock/439/439b33947ec2280f3c850aad5ab10c91.jpg;;text;/upload/iblock/7dd/7ddca66f557486ac19a216995dac0da9.jpg;;text;pomolvochnoe_koltso_iz_belogo_zolota_s_brilliantami;500;;3001011;;;;;;;;;;;;;;;;;;;Ювелирные изделия;Кольца;Помолвочные
1400;Жесткий браслет из белого золота с жемчугом;1826;Y;;;/upload/iblock/480/48086e7ed5bbaedc75c974f652900733.png;;text;/upload/iblock/8ce/8ce31e8ba829d9ac26fddb48943d8470.png;;text;zhestkiy_braslet_iz_belogo_zolota_s_zhemchugom;500;;000014;да;;;Браслеты;Белое золото;;585;;;;;;;;;;;;Ювелирные изделия;Браслеты;Жесткие браслеты
1406;Жесткий браслет из серебра с эмалью;1827;Y;;;/upload/iblock/f83/f83c2b35e381b98fae4f87e6fc02fda3.png;;text;/upload/iblock/2fa/2faee85fbb0ff11dd78be8753727bc1c.png;;text;zhestkiy_braslet_iz_serebra_s_emalyu;500;;000015;;;;Браслеты;Серебро;;925;;;;;;;;;;;;Ювелирные изделия;Браслеты;Жесткие браслеты
1417;Помолвочное кольцо из красного золота с бриллиантами;1828;Y;;;/upload/iblock/810/810d79764cc5efbb6c8bf986f31cf4df.jpg;;text;/upload/iblock/2ea/2eab1b6b2ea86e06e034d0144a4fd006.jpg;;text;pomolvochnoe_koltso_iz_krasnogo_zolota_s_brilliantami;500;;9010020;;да;;Кольца;Красное золото;3.4400;585;;;;;;;;;;2.0000;10.0000;Ювелирные изделия;Кольца;Помолвочные
1423;Жесткий браслет из золота с бриллиантами;1829;Y;;;/upload/iblock/8b7/8b77cde00433b1064ca556992610a3a7.png;;text;/upload/iblock/111/11195bb1f270314e02ed256b94e210a0.png;;text;zhestkiy_braslet_iz_zolota_s_brilliantami;500;;000016;;;;;Красное золото;;585;;;;;;;;;;;;Ювелирные изделия;Браслеты;Жесткие браслеты
